id,director
1413,David Cronenberg
1414,Julio Medem
1415,Fenton Bailey
1416,Kim Ki-duk
1417,Guillermo del Toro
1418,Icíar Bollaín
1420,Neil Jordan
1421,François Truffaut
1422,Martin Scorsese
1424,Greg Harrison
1427,Tom Tykwer
1428,Robert Rodriguez
1429,Spike Lee
1430,Michael Moore
1433,Guillermo del Toro
1435,Jonathan Caouette
1436,Kim Sung-soo
1439,Andy Tennant
1440,Todd Field
1441,Bruce Beresford
1443,Sofia Coppola
1444,Phil Morrison
1448,Po-Chih Leong
1450,Chris Nahon
1452,Bryan Singer
1480,Orson Welles
1483,E. Elias Merhige
1485,Mike Hodges
1487,Guillermo del Toro
1491,Neil Burger
1492,Ridley Scott
1493,Donald Petrie
1494,Zhang Yimou
1495,Ridley Scott
1496,David Kellogg
1497,Michael Pressman
1498,Steve Barron
1499,Stuart Gillard
1523,Kevin Macdonald
1534,Marcus Nispel
1535,Tony Scott
1537,Roger Michell
1538,Michael Mann
1541,Ridley Scott
1542,Mike Judge
1544,Ol Parker
1546,Mike Mills
1547,Joel Schumacher
1548,Terry Zwigoff
1549,Abdellatif Kechiche
1550,Peter Hedges
1551,Joel Schumacher
1552,Ron Howard
1553,Jacques Audiard
1554,Jim Jarmusch
1555,Cédric Klapisch
1556,Toshio Matsumoto
1557,Hans-Christian Schmid
1559,Dušan Makavejev
1561,Robert Bresson
1562,Juan Carlos Fresnadillo
1563,Chris Marker
1566,Bernhard Wicki
1567,Gaspar Noé
1568,Gaspar Noé
1571,Len Wiseman
1572,John McTiernan
1573,Renny Harlin
1574,Rob Marshall
1576,Paul W. S. Anderson
1577,Alexander Witt
1578,Martin Scorsese
1579,Mel Gibson
1580,Alfred Hitchcock
1581,Nancy Meyers
1583,Christian Zübert
1584,Richard Linklater
1585,Frank Capra
1586,David Koepp
1587,Lasse Hallström
1588,Peyton Reed
1589,John Irvin
1590,Agnieszka Holland
1591,Caroline Link
1592,Gregory Hoblit
1593,Shawn Levy
1594,Blake Edwards
1595,Wim Wenders
1596,Michelle MacLaren
1597,Jay Roach
1598,Martin Scorsese
1599,David O. Russell
1600,Krzysztof Kieślowski
1607,Robert De Niro
1609,John Hay
1610,David Evans
1611,Sönke Wortmann
1613,Ronny Yu
1618,Brian Gibson
1619,Christopher McQuarrie
1620,Xavier Gens
1621,John Landis
1622,Dominik Moll
1623,Stuart Rosenberg
1624,Tom Shadyac
1626,Jean-Luc Godard
1627,François Truffaut
1628,François Truffaut
1629,Jean-Luc Godard
1630,Miloš Forman
1631,Catherine Breillat
1632,Alan Parker
1633,Jon Avnet
1634,Simon Wincer
1635,Michael Bay
1636,Harold Ramis
1637,Jan de Bont
1639,Jan de Bont
1640,Paul Haggis
1641,Bronwen Hughes
1642,Irwin Winkler
1643,Bernardo Bertolucci
1644,George Sluizer
1645,Joel Schumacher
1646,Richard LaGravenese
1647,Roger Donaldson
1648,Stephen Herek
1649,Peter Hewitt
1651,François Truffaut
1653,Walter Salles
1654,Robert Aldrich
1656,Martin Campbell
1660,François Truffaut
1661,Sebastian Schipper
1662,Phil Joanou
1665,Gus Van Sant
1666,Eric Steel
1667,Luc Jacquet
1669,John McTiernan
1672,Georges Lautner
1673,Budd Boetticher
1675,François Truffaut
1676,Tom Gries
1677,Taylor Hackford
1678,Ishirō Honda
1679,Motoyoshi Oda
1680,Ishirō Honda
1682,Ishirō Honda
1683,Stephen Hopkins
1685,Ted Post
1687,Don Taylor
1688,J. Lee Thompson
1689,Bernardo Bertolucci
1690,Eli Roth
1691,Eli Roth
1693,Michael Davis
1694,Stuart Gordon
1696,Rob Zombie
1697,Marcus H. Rosenmüller
1698,Stefan Ruzowitzky
1699,Stefan Ruzowitzky
1700,Rob Reiner
1701,Simon West
1702,Stephen Norrington
1705,J. Lee Thompson
1710,Jon Amiel
1712,George Stevens
1713,Spike Lee
1714,François Truffaut
1715,Lasse Hallström
1716,François Truffaut
1717,Steven Zaillian
1719,François Truffaut
1720,Dagur Kári
1721,Giuseppe Colizzi
1722,John Madden
1723,Martin Ritt
1724,Louis Leterrier
1725,Robert Wise
1726,Jon Favreau
1727,John Badham
1729,Rob Minkoff
1730,David Lynch
1731,Sandra Nettelbeck
1734,Stephen Sommers
1735,Rob Cohen
1738,Lee Tamahori
1770,Neil Jordan
1771,Joe Johnston
1775,Michael Moore
1776,Heidi Ewing
1777,Michael Moore
1779,Michael Moore
1781,Davis Guggenheim
1782,Gilles Bourdos
1783,David L. Cunningham
1785,Louis Malle
1786,Louis Malle
1788,Herbert Ross
1791,Michael Haneke
1792,Bobby Farrelly
1802,Claude Chabrol
1803,Robert Vincent O'Neill
1807,Gus Van Sant
1808,Todd Haynes
1809,Roger Avary
1810,Elia Kazan
1811,Gregg Araki
1813,Taylor Hackford
1815,Michael Winner
1816,Richard Attenborough
1817,Joel Schumacher
1818,François Truffaut
1819,Anthony Russo
1824,Peter Segal
1825,Menahem Golan
1826,Cédric Klapisch
1829,François Truffaut
